label,x_mean,y_mean,area
2,164.52860548271752,1495.4436829559,3356
3,117.56830417227457,716.8650740242261,2972
4,177.88082901554404,1472.4497409326425,1930
5,355.8399409531843,645.1990721214677,4742
6,402.7059129981766,649.7311799947903,3839
7,471.5924775707384,1344.7888198757764,2898
9,575.1237930180738,465.5677147808864,4039
10,776.8048327137546,1198.149628252788,2152
11,1103.5031545741324,1393.3990536277602,1902
14,1448.293742364599,575.4968100990906,7367
16,1413.7704185290531,1622.2685900040633,2461
17,1444.884986830553,655.5443371378402,2278
18,1465.5839781520256,574.6859353664088,2197
20,1470.6389684813753,455.4435888252149,5584
21,1521.0488997555012,2612.119804400978,409
22,1522.4059113300493,932.871592775041,3045
23,1580.7656798795786,2034.3868539889613,1993
24,1530.4609402615765,1104.294096854012,2829
25,1658.716841039487,1952.353358083024,2963
27,1669.0640514863621,1937.5737051792828,3263
28,1697.7016895459346,1969.315469904963,3788
29,1646.1289406418632,2092.739846634479,3521
30,1612.250357653791,2600.3605150214594,699
31,1599.3384615384616,2178.0246153846156,650
33,1618.2972560975609,2135.435975609756,656
34,1671.784126984127,1976.8539682539683,1260
35,1674.8984664198836,2034.4272871496562,1891
37,1667.533728687917,2077.8917716827277,1349
38,1723.044849679645,1952.2730409068506,2029
44,1757.922865013774,1963.1460055096418,726
45,1911.4664259927797,2400.785559566787,2770
