,trackmate_overlap,trackmate_LAP,trackmate_kalman,trackmate_close_neighbor,superSegger
0,1,1,1,1,0.8
1,1,1,1,1,0.8333333333333334
2,1,1,1,1,0.7333333333333333
3,1,1,1,1,0.7666666666666667
4,1,1,1,1,0.7333333333333333
5,1,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8333333333333334
6,1,1,1,1,0.8064516129032258
7,1,0.5161290322580645,1,0.967741935,0.8064516129032258
8,1,1,1,0.9032258064516129,0.8064516129032258
9,0.967741935,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839
10,0.9696969696969697,0.9393939393939394,0.8484848484848485,0.8787878787878788,0.7272727272727273
11,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.7428571428571429
12,0.918918919,0.6756756756756757,0.6756756756756757,0.7567567567567568,0.8648648648648649
13,0.9736842105263158,0.9473684210526315,0.8421052631578947,0.8947368421052632,0.7894736842105263
14,0.95,0.925,0.875,0.925,0.925
15,0.9069767441860465,0.8837209302325582,0.8837209302325582,0.8604651162790697,0.7906976744186046
16,0.875,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.9166666666666666
17,0.9259259259259259,0.7777777777777778,0.8888888888888888,0.7037037037037037,0.6666666666666666
18,0.8947368421052632,0.9298245614035088,0.8245614035087719,0.8947368421052632,0.6842105263157895
19,0.9344262295081968,0.7540983606557377,0.8032786885245902,0.819672131,0.7377049180327869
20,0.9354838709677419,0.9193548387096774,0.8548387096774194,0.8870967741935484,0.7741935483870968
21,0.835820896,0.7761194029850746,0.7313432835820896,0.7313432835820896,0.6417910447761194
22,0.9024390243902439,0.8780487804878049,0.8414634146341463,0.8414634146341463,0.6951219512195121
23,0.8735632183908046,0.8850574712643678,0.8505747126436781,0.8850574712643678,0.6896551724137931
24,0.8526315789473684,0.8105263157894737,0.8315789473684211,0.8105263157894737,0.7684210526315789
25,0.8627450980392157,0.8333333333333334,0.8333333333333334,0.8431372549019608,0.7254901960784313
26,0.8392857142857143,0.7410714285714286,0.7410714285714286,0.6785714285714286,0.5982142857142857
27,0.8225806451612904,0.7661290322580645,0.7096774193548387,0.75,0.6290322580645161
