,trackmate_overlap,superSegger
0,1.0,0.8
1,1.0,0.8333333333333334
2,1.0,0.7333333333333333
3,1.0,0.7666666666666667
4,1.0,0.7333333333333333
5,0.9666666666666667,0.8333333333333334
6,1.0,0.8064516129032258
7,0.967741935483871,0.8064516129032258
8,0.9032258064516129,0.8064516129032258
9,0.8709677419354839,0.8709677419354839
10,0.8787878787878788,0.7272727272727273
11,0.9428571428571428,0.7428571428571429
12,0.7567567567567568,0.8648648648648649
13,0.8947368421052632,0.7894736842105263
14,0.925,0.925
15,0.8604651162790697,0.7906976744186046
16,0.8541666666666666,0.9166666666666666
17,0.7037037037037037,0.6666666666666666
18,0.8947368421052632,0.6842105263157895
19,0.819672131147541,0.7377049180327869
20,0.8870967741935484,0.7741935483870968
21,0.7313432835820896,0.6417910447761194
22,0.8414634146341463,0.6951219512195121
23,0.8850574712643678,0.6896551724137931
24,0.8105263157894737,0.7684210526315789
25,0.8431372549019608,0.7254901960784313
26,0.6785714285714286,0.5982142857142857
27,0.75,0.6290322580645161
