label,x_mean,y_mean,area
14,71.76574585635359,1548.275138121547,905
16,116.81585596967783,715.9251421351863,3166
17,199.9674204676121,1475.0486776542737,2609
18,179.31333005410724,1471.926709296606,2033
19,357.0674469351319,644.0440388811744,5041
20,401.6037503084135,647.578830495929,4053
21,472.0690224570674,1344.7466974900924,3028
24,575.5963172804533,466.6669027384325,4236
25,776.5912965455361,1198.864064602961,2229
26,1106.1880641925777,1392.3370110330993,1994
28,1447.0424754222333,576.5709604234938,7934
30,1412.386294027565,1621.6810872894334,2612
31,1444.3103874690848,656.1797197032151,2426
32,1468.561344537815,575.0264705882353,2380
34,1471.5056666666667,451.88966666666664,6000
37,1523.0181363352094,934.8155096935585,3198
38,1523.4564315352698,2610.49377593361,241
39,1582.2892992424242,2033.8432765151515,2112
40,1532.1239259748843,1102.8998678122935,3026
41,1584.1704384724187,1960.5912305516265,1414
42,1667.818720379147,1936.6718009478673,3376
43,1694.9624436654983,1967.7546319479218,3994
44,1647.8009605122732,2093.084311632871,3748
45,1599.7454545454545,2180.6993006993007,715
46,1609.181443298969,2598.4927835051544,485
47,1619.0534682080925,2135.3699421965316,692
48,1673.12517580872,1976.5506329113923,1422
49,1676.9351851851852,2033.8591617933723,2052
50,1669.7214484679666,2074.759749303621,1436
51,1725.3463661453543,1949.6398344066238,2174
52,1719.875138121547,1941.6265193370166,1810
54,1761.9673469387756,1960.3482993197279,735
55,1912.1355873126524,2400.272220285814,2869
